config_ufm_pll,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,
W0,CFG_BBMUXN4<8>,CFG_BBMUXN4<5>,CFG_BBMUXN4<4>,CFG_BBMUXN4<2>,CFG_BBMUXN4<0>,CFG_BBMUXN5<0>,CFG_BBMUXN5<2>,CFG_BBMUXN5<4>,CFG_BBMUXN5<5>,CFG_BBMUXN5<8>,CFG_BBMUXN6<0>,CFG_BBMUXN6<2>,CFG_BBMUXN6<4>,CFG_BBMUXN6<5>,CFG_BBMUXN6<8>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_CONSTMUX,XXXX,
W1,XXXX,CFG_BBMUXN4<7>,CFG_BBMUXN4<6>,CFG_BBMUXN4<3>,CFG_BBMUXN4<1>,CFG_BBMUXN5<1>,CFG_BBMUXN5<3>,CFG_BBMUXN5<6>,CFG_BBMUXN5<7>,XXXX,CFG_BBMUXN6<1>,CFG_BBMUXN6<3>,CFG_BBMUXN6<6>,CFG_BBMUXN6<7>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W2,XXXX,CFG_BBMUXN0<7>,CFG_BBMUXN0<6>,CFG_BBMUXN0<3>,CFG_BBMUXN0<1>,CFG_BBMUXN1<1>,CFG_BBMUXN1<3>,CFG_BBMUXN1<6>,CFG_BBMUXN1<7>,XXXX,CFG_BBMUXN2<1>,CFG_BBMUXN2<3>,CFG_BBMUXN2<6>,CFG_BBMUXN2<7>,XXXX,CFG_BBMUXN3<1>,CFG_BBMUXN3<3>,CFG_BBMUXN3<6>,CFG_BBMUXN3<7>,XXXX,XXXX,CFG_GDRVMUX<11>,CFG_GDRVMUX<9>,CFG_GDRVMUX<7>,CFG_GDRVMUX<5>,CFG_GDRVMUX<3>,CFG_GDRVMUX<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W3,CFG_BBMUXN0<8>,CFG_BBMUXN0<5>,CFG_BBMUXN0<4>,CFG_BBMUXN0<2>,CFG_BBMUXN0<0>,CFG_BBMUXN1<0>,CFG_BBMUXN1<2>,CFG_BBMUXN1<4>,CFG_BBMUXN1<5>,CFG_BBMUXN1<8>,CFG_BBMUXN2<0>,CFG_BBMUXN2<2>,CFG_BBMUXN2<4>,CFG_BBMUXN2<5>,CFG_BBMUXN2<8>,CFG_BBMUXN3<0>,CFG_BBMUXN3<2>,CFG_BBMUXN3<4>,CFG_BBMUXN3<5>,CFG_BBMUXN3<8>,XXXX,CFG_GDRVMUX<10>,CFG_GDRVMUX<8>,CFG_GDRVMUX<6>,CFG_GDRVMUX<4>,CFG_GDRVMUX<2>,CFG_GDRVMUX<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W4,XXXX,XXXX,XXXX,XXXX,CFG_SeamMUX<9>,CFG_SeamMUX<11>,XXXX,XXXX,XXXX,XXXX,CFG_SeamMUX<13>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W5,XXXX,XXXX,XXXX,XXXX,CFG_SeamMUX<8>,CFG_SeamMUX<10>,XXXX,XXXX,XXXX,XXXX,CFG_SeamMUX<12>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W6,XXXX,XXXX,XXXX,XXXX,CFG_SeamMUX<1>,CFG_SeamMUX<3>,XXXX,XXXX,XXXX,XXXX,CFG_SeamMUX<5>,XXXX,XXXX,XXXX,XXXX,CFG_SeamMUX<7>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W7,XXXX,XXXX,XXXX,XXXX,CFG_SeamMUX<0>,CFG_SeamMUX<2>,XXXX,XXXX,XXXX,XXXX,CFG_SeamMUX<4>,XXXX,XXXX,XXXX,XXXX,CFG_SeamMUX<6>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,

