config_iomux_e7_g2,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
W10,CFG_RMUX1<17>,CFG_RMUX1<16>,CFG_RMUX1<14>,CFG_RMUX1<12>,CFG_RMUX1<10>,CFG_RMUX1<30>,CFG_RMUX1<32>,CFG_RMUX1<34>,CFG_RMUX1<36>,CFG_RMUX1<37>,CFG_RMUX1<50>,CFG_RMUX1<52>,CFG_RMUX1<54>,CFG_RMUX1<56>,CFG_RMUX1<57>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W11,CFG_RMUX1<18>,CFG_RMUX1<19>,CFG_RMUX1<15>,CFG_RMUX1<13>,CFG_RMUX1<11>,CFG_RMUX1<31>,CFG_RMUX1<33>,CFG_RMUX1<35>,CFG_RMUX1<39>,CFG_RMUX1<38>,CFG_RMUX1<51>,CFG_RMUX1<53>,CFG_RMUX1<55>,CFG_RMUX1<59>,CFG_RMUX1<58>,CFG_IOMUX2<6>,CFG_IOMUX2<7>,CFG_IOMUX2<1>,CFG_IOMUX2<3>,CFG_SeamMUX<13>,CFG_IOMUX2<9>
W12,CFG_RMUX2<47>,CFG_RMUX2<46>,CFG_RMUX2<44>,CFG_RMUX2<42>,CFG_RMUX2<40>,CFG_RMUX2<0>,CFG_RMUX2<2>,CFG_RMUX2<4>,CFG_RMUX2<6>,CFG_RMUX2<7>,CFG_RMUX2<20>,CFG_RMUX2<22>,CFG_RMUX2<24>,CFG_RMUX2<26>,CFG_RMUX2<27>,CFG_IOMUX3<4>,CFG_IOMUX3<8>,CFG_IOMUX3<0>,CFG_IOMUX3<2>,CFG_IOMUX3<5>,CFG_SeamMUX<14>
W13,CFG_RMUX2<48>,CFG_RMUX2<49>,CFG_RMUX2<45>,CFG_RMUX2<43>,CFG_RMUX2<41>,CFG_RMUX2<1>,CFG_RMUX2<3>,CFG_RMUX2<5>,CFG_RMUX2<9>,CFG_RMUX2<8>,CFG_RMUX2<21>,CFG_RMUX2<23>,CFG_RMUX2<25>,CFG_RMUX2<29>,CFG_RMUX2<28>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W14,CFG_RMUX3<47>,CFG_RMUX3<46>,CFG_RMUX3<44>,CFG_RMUX3<42>,CFG_RMUX3<40>,CFG_RMUX3<0>,CFG_RMUX3<2>,CFG_RMUX3<4>,CFG_RMUX3<6>,CFG_RMUX3<7>,CFG_RMUX3<20>,CFG_RMUX3<22>,CFG_RMUX3<24>,CFG_RMUX3<26>,CFG_RMUX3<27>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W15,CFG_RMUX3<48>,CFG_RMUX3<49>,CFG_RMUX3<45>,CFG_RMUX3<43>,CFG_RMUX3<41>,CFG_RMUX3<1>,CFG_RMUX3<3>,CFG_RMUX3<5>,CFG_RMUX3<9>,CFG_RMUX3<8>,CFG_RMUX3<21>,CFG_RMUX3<23>,CFG_RMUX3<25>,CFG_RMUX3<29>,CFG_RMUX3<28>,CFG_IOMUX3<6>,CFG_IOMUX3<7>,CFG_IOMUX3<1>,CFG_IOMUX3<3>,CFG_SeamMUX<15>,CFG_IOMUX3<9>
W16,CFG_RMUX4<7>,CFG_RMUX4<6>,CFG_RMUX4<4>,CFG_RMUX4<2>,CFG_RMUX4<0>,CFG_RMUX4<20>,CFG_RMUX4<22>,CFG_RMUX4<24>,CFG_RMUX4<26>,CFG_RMUX4<27>,CFG_RMUX4<40>,CFG_RMUX4<42>,CFG_RMUX4<44>,CFG_RMUX4<46>,CFG_RMUX4<47>,CFG_IOMUX4<4>,CFG_IOMUX4<8>,CFG_IOMUX4<0>,CFG_IOMUX4<2>,CFG_IOMUX4<5>,CFG_SeamMUX<16>
W17,CFG_RMUX4<8>,CFG_RMUX4<9>,CFG_RMUX4<5>,CFG_RMUX4<3>,CFG_RMUX4<1>,CFG_RMUX4<21>,CFG_RMUX4<23>,CFG_RMUX4<25>,CFG_RMUX4<29>,CFG_RMUX4<28>,CFG_RMUX4<41>,CFG_RMUX4<43>,CFG_RMUX4<45>,CFG_RMUX4<49>,CFG_RMUX4<48>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W18,CFG_RMUX5<7>,CFG_RMUX5<6>,CFG_RMUX5<4>,CFG_RMUX5<2>,CFG_RMUX5<0>,CFG_RMUX5<20>,CFG_RMUX5<22>,CFG_RMUX5<24>,CFG_RMUX5<26>,CFG_RMUX5<27>,CFG_RMUX5<40>,CFG_RMUX5<42>,CFG_RMUX5<44>,CFG_RMUX5<46>,CFG_RMUX5<47>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W19,CFG_RMUX5<8>,CFG_RMUX5<9>,CFG_RMUX5<5>,CFG_RMUX5<3>,CFG_RMUX5<1>,CFG_RMUX5<21>,CFG_RMUX5<23>,CFG_RMUX5<25>,CFG_RMUX5<29>,CFG_RMUX5<28>,CFG_RMUX5<41>,CFG_RMUX5<43>,CFG_RMUX5<45>,CFG_RMUX5<49>,CFG_RMUX5<48>,CFG_IOMUX4<6>,CFG_IOMUX4<7>,CFG_IOMUX4<1>,CFG_IOMUX4<3>,CFG_SeamMUX<17>,CFG_IOMUX4<9>
W20,CFG_RMUX6<57>,CFG_RMUX6<56>,CFG_RMUX6<54>,CFG_RMUX6<52>,CFG_RMUX6<50>,CFG_RMUX6<10>,CFG_RMUX6<12>,CFG_RMUX6<14>,CFG_RMUX6<16>,CFG_RMUX6<17>,CFG_RMUX6<30>,CFG_RMUX6<32>,CFG_RMUX6<34>,CFG_RMUX6<36>,CFG_RMUX6<37>,CFG_IOMUX5<4>,CFG_IOMUX5<8>,CFG_IOMUX5<0>,CFG_IOMUX5<2>,CFG_IOMUX5<5>,CFG_SeamMUX<18>
W21,CFG_RMUX6<58>,CFG_RMUX6<59>,CFG_RMUX6<55>,CFG_RMUX6<53>,CFG_RMUX6<51>,CFG_RMUX6<11>,CFG_RMUX6<13>,CFG_RMUX6<15>,CFG_RMUX6<19>,CFG_RMUX6<18>,CFG_RMUX6<31>,CFG_RMUX6<33>,CFG_RMUX6<35>,CFG_RMUX6<39>,CFG_RMUX6<38>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W22,CFG_RMUX7<57>,CFG_RMUX7<56>,CFG_RMUX7<54>,CFG_RMUX7<52>,CFG_RMUX7<50>,CFG_RMUX7<10>,CFG_RMUX7<12>,CFG_RMUX7<14>,CFG_RMUX7<16>,CFG_RMUX7<17>,CFG_RMUX7<30>,CFG_RMUX7<32>,CFG_RMUX7<34>,CFG_RMUX7<36>,CFG_RMUX7<37>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W23,CFG_RMUX7<58>,CFG_RMUX7<59>,CFG_RMUX7<55>,CFG_RMUX7<53>,CFG_RMUX7<51>,CFG_RMUX7<11>,CFG_RMUX7<13>,CFG_RMUX7<15>,CFG_RMUX7<19>,CFG_RMUX7<18>,CFG_RMUX7<31>,CFG_RMUX7<33>,CFG_RMUX7<35>,CFG_RMUX7<39>,CFG_RMUX7<38>,CFG_IOMUX5<6>,CFG_IOMUX5<7>,CFG_IOMUX5<1>,CFG_IOMUX5<3>,CFG_SeamMUX<19>,CFG_IOMUX5<9>
W24,CFG_RMUX4<17>,CFG_RMUX4<16>,CFG_RMUX4<14>,CFG_RMUX4<12>,CFG_RMUX4<10>,CFG_RMUX4<30>,CFG_RMUX4<32>,CFG_RMUX4<34>,CFG_RMUX4<36>,CFG_RMUX4<37>,CFG_RMUX4<50>,CFG_RMUX4<52>,CFG_RMUX4<54>,CFG_RMUX4<56>,CFG_RMUX4<57>,CFG_IOMUX6<4>,CFG_IOMUX6<8>,CFG_IOMUX6<0>,CFG_IOMUX6<2>,CFG_IOMUX6<5>,CFG_SeamMUX<20>
W25,CFG_RMUX4<18>,CFG_RMUX4<19>,CFG_RMUX4<15>,CFG_RMUX4<13>,CFG_RMUX4<11>,CFG_RMUX4<31>,CFG_RMUX4<33>,CFG_RMUX4<35>,CFG_RMUX4<39>,CFG_RMUX4<38>,CFG_RMUX4<51>,CFG_RMUX4<53>,CFG_RMUX4<55>,CFG_RMUX4<59>,CFG_RMUX4<58>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W26,CFG_RMUX5<17>,CFG_RMUX5<16>,CFG_RMUX5<14>,CFG_RMUX5<12>,CFG_RMUX5<10>,CFG_RMUX5<30>,CFG_RMUX5<32>,CFG_RMUX5<34>,CFG_RMUX5<36>,CFG_RMUX5<37>,CFG_RMUX5<50>,CFG_RMUX5<52>,CFG_RMUX5<54>,CFG_RMUX5<56>,CFG_RMUX5<57>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W27,CFG_RMUX5<18>,CFG_RMUX5<19>,CFG_RMUX5<15>,CFG_RMUX5<13>,CFG_RMUX5<11>,CFG_RMUX5<31>,CFG_RMUX5<33>,CFG_RMUX5<35>,CFG_RMUX5<39>,CFG_RMUX5<38>,CFG_RMUX5<51>,CFG_RMUX5<53>,CFG_RMUX5<55>,CFG_RMUX5<59>,CFG_RMUX5<58>,CFG_IOMUX6<6>,CFG_IOMUX6<7>,CFG_IOMUX6<1>,CFG_IOMUX6<3>,CFG_SeamMUX<21>,CFG_IOMUX6<9>
W28,CFG_RMUX6<47>,CFG_RMUX6<46>,CFG_RMUX6<44>,CFG_RMUX6<42>,CFG_RMUX6<40>,CFG_RMUX6<0>,CFG_RMUX6<2>,CFG_RMUX6<4>,CFG_RMUX6<6>,CFG_RMUX6<7>,CFG_RMUX6<20>,CFG_RMUX6<22>,CFG_RMUX6<24>,CFG_RMUX6<26>,CFG_RMUX6<27>,CFG_IOMUX7<4>,CFG_IOMUX7<8>,CFG_IOMUX7<0>,CFG_IOMUX7<2>,CFG_IOMUX7<5>,CFG_SeamMUX<22>
W29,CFG_RMUX6<48>,CFG_RMUX6<49>,CFG_RMUX6<45>,CFG_RMUX6<43>,CFG_RMUX6<41>,CFG_RMUX6<1>,CFG_RMUX6<3>,CFG_RMUX6<5>,CFG_RMUX6<9>,CFG_RMUX6<8>,CFG_RMUX6<21>,CFG_RMUX6<23>,CFG_RMUX6<25>,CFG_RMUX6<29>,CFG_RMUX6<28>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W30,CFG_RMUX7<47>,CFG_RMUX7<46>,CFG_RMUX7<44>,CFG_RMUX7<42>,CFG_RMUX7<40>,CFG_RMUX7<0>,CFG_RMUX7<2>,CFG_RMUX7<4>,CFG_RMUX7<6>,CFG_RMUX7<7>,CFG_RMUX7<20>,CFG_RMUX7<22>,CFG_RMUX7<24>,CFG_RMUX7<26>,CFG_RMUX7<27>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W31,CFG_RMUX7<48>,CFG_RMUX7<49>,CFG_RMUX7<45>,CFG_RMUX7<43>,CFG_RMUX7<41>,CFG_RMUX7<1>,CFG_RMUX7<3>,CFG_RMUX7<5>,CFG_RMUX7<9>,CFG_RMUX7<8>,CFG_RMUX7<21>,CFG_RMUX7<23>,CFG_RMUX7<25>,CFG_RMUX7<29>,CFG_RMUX7<28>,CFG_IOMUX7<6>,CFG_IOMUX7<7>,CFG_IOMUX7<1>,CFG_IOMUX7<3>,CFG_SeamMUX<23>,CFG_IOMUX7<9>
W32,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SeamMUX<0>,CFG_SeamMUX<3>,CFG_SeamMUX<2>,CFG_SeamMUX<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W33,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W34,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W35,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SeamMUX<4>,CFG_SeamMUX<7>,CFG_SeamMUX<6>,CFG_SeamMUX<5>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W36,CFG_RMUX8<7>,CFG_RMUX8<6>,CFG_RMUX8<4>,CFG_RMUX8<2>,CFG_RMUX8<0>,CFG_RMUX8<20>,CFG_RMUX8<22>,CFG_RMUX8<24>,CFG_RMUX8<26>,CFG_RMUX8<27>,CFG_RMUX8<40>,CFG_RMUX8<42>,CFG_RMUX8<44>,CFG_RMUX8<46>,CFG_RMUX8<47>,CFG_IOMUX8<4>,CFG_IOMUX8<8>,CFG_IOMUX8<0>,CFG_IOMUX8<2>,CFG_IOMUX8<5>,CFG_SeamMUX<24>
W37,CFG_RMUX8<8>,CFG_RMUX8<9>,CFG_RMUX8<5>,CFG_RMUX8<3>,CFG_RMUX8<1>,CFG_RMUX8<21>,CFG_RMUX8<23>,CFG_RMUX8<25>,CFG_RMUX8<29>,CFG_RMUX8<28>,CFG_RMUX8<41>,CFG_RMUX8<43>,CFG_RMUX8<45>,CFG_RMUX8<49>,CFG_RMUX8<48>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W38,CFG_RMUX9<7>,CFG_RMUX9<6>,CFG_RMUX9<4>,CFG_RMUX9<2>,CFG_RMUX9<0>,CFG_RMUX9<20>,CFG_RMUX9<22>,CFG_RMUX9<24>,CFG_RMUX9<26>,CFG_RMUX9<27>,CFG_RMUX9<40>,CFG_RMUX9<42>,CFG_RMUX9<44>,CFG_RMUX9<46>,CFG_RMUX9<47>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W39,CFG_RMUX9<8>,CFG_RMUX9<9>,CFG_RMUX9<5>,CFG_RMUX9<3>,CFG_RMUX9<1>,CFG_RMUX9<21>,CFG_RMUX9<23>,CFG_RMUX9<25>,CFG_RMUX9<29>,CFG_RMUX9<28>,CFG_RMUX9<41>,CFG_RMUX9<43>,CFG_RMUX9<45>,CFG_RMUX9<49>,CFG_RMUX9<48>,CFG_IOMUX8<6>,CFG_IOMUX8<7>,CFG_IOMUX8<1>,CFG_IOMUX8<3>,CFG_SeamMUX<25>,CFG_IOMUX8<9>
W40,CFG_RMUX10<57>,CFG_RMUX10<56>,CFG_RMUX10<54>,CFG_RMUX10<52>,CFG_RMUX10<50>,CFG_RMUX10<10>,CFG_RMUX10<12>,CFG_RMUX10<14>,CFG_RMUX10<16>,CFG_RMUX10<17>,CFG_RMUX10<30>,CFG_RMUX10<32>,CFG_RMUX10<34>,CFG_RMUX10<36>,CFG_RMUX10<37>,CFG_IOMUX9<4>,CFG_IOMUX9<8>,CFG_IOMUX9<0>,CFG_IOMUX9<2>,CFG_IOMUX9<5>,CFG_SeamMUX<26>
W41,CFG_RMUX10<58>,CFG_RMUX10<59>,CFG_RMUX10<55>,CFG_RMUX10<53>,CFG_RMUX10<51>,CFG_RMUX10<11>,CFG_RMUX10<13>,CFG_RMUX10<15>,CFG_RMUX10<19>,CFG_RMUX10<18>,CFG_RMUX10<31>,CFG_RMUX10<33>,CFG_RMUX10<35>,CFG_RMUX10<39>,CFG_RMUX10<38>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W42,CFG_RMUX11<57>,CFG_RMUX11<56>,CFG_RMUX11<54>,CFG_RMUX11<52>,CFG_RMUX11<50>,CFG_RMUX11<10>,CFG_RMUX11<12>,CFG_RMUX11<14>,CFG_RMUX11<16>,CFG_RMUX11<17>,CFG_RMUX11<30>,CFG_RMUX11<32>,CFG_RMUX11<34>,CFG_RMUX11<36>,CFG_RMUX11<37>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W43,CFG_RMUX11<58>,CFG_RMUX11<59>,CFG_RMUX11<55>,CFG_RMUX11<53>,CFG_RMUX11<51>,CFG_RMUX11<11>,CFG_RMUX11<13>,CFG_RMUX11<15>,CFG_RMUX11<19>,CFG_RMUX11<18>,CFG_RMUX11<31>,CFG_RMUX11<33>,CFG_RMUX11<35>,CFG_RMUX11<39>,CFG_RMUX11<38>,CFG_IOMUX9<6>,CFG_IOMUX9<7>,CFG_IOMUX9<1>,CFG_IOMUX9<3>,CFG_SeamMUX<27>,CFG_IOMUX9<9>
W44,CFG_RMUX8<17>,CFG_RMUX8<16>,CFG_RMUX8<14>,CFG_RMUX8<12>,CFG_RMUX8<10>,CFG_RMUX8<30>,CFG_RMUX8<32>,CFG_RMUX8<34>,CFG_RMUX8<36>,CFG_RMUX8<37>,CFG_RMUX8<50>,CFG_RMUX8<52>,CFG_RMUX8<54>,CFG_RMUX8<56>,CFG_RMUX8<57>,CFG_IOMUX10<4>,CFG_IOMUX10<8>,CFG_IOMUX10<0>,CFG_IOMUX10<2>,CFG_IOMUX10<5>,CFG_SeamMUX<28>
W45,CFG_RMUX8<18>,CFG_RMUX8<19>,CFG_RMUX8<15>,CFG_RMUX8<13>,CFG_RMUX8<11>,CFG_RMUX8<31>,CFG_RMUX8<33>,CFG_RMUX8<35>,CFG_RMUX8<39>,CFG_RMUX8<38>,CFG_RMUX8<51>,CFG_RMUX8<53>,CFG_RMUX8<55>,CFG_RMUX8<59>,CFG_RMUX8<58>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W46,CFG_RMUX9<17>,CFG_RMUX9<16>,CFG_RMUX9<14>,CFG_RMUX9<12>,CFG_RMUX9<10>,CFG_RMUX9<30>,CFG_RMUX9<32>,CFG_RMUX9<34>,CFG_RMUX9<36>,CFG_RMUX9<37>,CFG_RMUX9<50>,CFG_RMUX9<52>,CFG_RMUX9<54>,CFG_RMUX9<56>,CFG_RMUX9<57>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W47,CFG_RMUX9<18>,CFG_RMUX9<19>,CFG_RMUX9<15>,CFG_RMUX9<13>,CFG_RMUX9<11>,CFG_RMUX9<31>,CFG_RMUX9<33>,CFG_RMUX9<35>,CFG_RMUX9<39>,CFG_RMUX9<38>,CFG_RMUX9<51>,CFG_RMUX9<53>,CFG_RMUX9<55>,CFG_RMUX9<59>,CFG_RMUX9<58>,CFG_IOMUX10<6>,CFG_IOMUX10<7>,CFG_IOMUX10<1>,CFG_IOMUX10<3>,CFG_SeamMUX<29>,CFG_IOMUX10<9>
W48,CFG_RMUX10<47>,CFG_RMUX10<46>,CFG_RMUX10<44>,CFG_RMUX10<42>,CFG_RMUX10<40>,CFG_RMUX10<0>,CFG_RMUX10<2>,CFG_RMUX10<4>,CFG_RMUX10<6>,CFG_RMUX10<7>,CFG_RMUX10<20>,CFG_RMUX10<22>,CFG_RMUX10<24>,CFG_RMUX10<26>,CFG_RMUX10<27>,CFG_IOMUX11<4>,CFG_IOMUX11<8>,CFG_IOMUX11<0>,CFG_IOMUX11<2>,CFG_IOMUX11<5>,CFG_SeamMUX<30>
W49,CFG_RMUX10<48>,CFG_RMUX10<49>,CFG_RMUX10<45>,CFG_RMUX10<43>,CFG_RMUX10<41>,CFG_RMUX10<1>,CFG_RMUX10<3>,CFG_RMUX10<5>,CFG_RMUX10<9>,CFG_RMUX10<8>,CFG_RMUX10<21>,CFG_RMUX10<23>,CFG_RMUX10<25>,CFG_RMUX10<29>,CFG_RMUX10<28>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W50,CFG_RMUX11<47>,CFG_RMUX11<46>,CFG_RMUX11<44>,CFG_RMUX11<42>,CFG_RMUX11<40>,CFG_RMUX11<0>,CFG_RMUX11<2>,CFG_RMUX11<4>,CFG_RMUX11<6>,CFG_RMUX11<7>,CFG_RMUX11<20>,CFG_RMUX11<22>,CFG_RMUX11<24>,CFG_RMUX11<26>,CFG_RMUX11<27>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W51,CFG_RMUX11<48>,CFG_RMUX11<49>,CFG_RMUX11<45>,CFG_RMUX11<43>,CFG_RMUX11<41>,CFG_RMUX11<1>,CFG_RMUX11<3>,CFG_RMUX11<5>,CFG_RMUX11<9>,CFG_RMUX11<8>,CFG_RMUX11<21>,CFG_RMUX11<23>,CFG_RMUX11<25>,CFG_RMUX11<29>,CFG_RMUX11<28>,CFG_IOMUX11<6>,CFG_IOMUX11<7>,CFG_IOMUX11<1>,CFG_IOMUX11<3>,CFG_SeamMUX<31>,CFG_IOMUX11<9>
W52,CFG_RMUX12<7>,CFG_RMUX12<6>,CFG_RMUX12<4>,CFG_RMUX12<2>,CFG_RMUX12<0>,CFG_RMUX12<20>,CFG_RMUX12<22>,CFG_RMUX12<24>,CFG_RMUX12<26>,CFG_RMUX12<27>,CFG_RMUX12<40>,CFG_RMUX12<42>,CFG_RMUX12<44>,CFG_RMUX12<46>,CFG_RMUX12<47>,CFG_IOMUX12<4>,CFG_IOMUX12<8>,CFG_IOMUX12<0>,CFG_IOMUX12<2>,CFG_IOMUX12<5>,CFG_SeamMUX<32>
W53,CFG_RMUX12<8>,CFG_RMUX12<9>,CFG_RMUX12<5>,CFG_RMUX12<3>,CFG_RMUX12<1>,CFG_RMUX12<21>,CFG_RMUX12<23>,CFG_RMUX12<25>,CFG_RMUX12<29>,CFG_RMUX12<28>,CFG_RMUX12<41>,CFG_RMUX12<43>,CFG_RMUX12<45>,CFG_RMUX12<49>,CFG_RMUX12<48>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W54,CFG_RMUX13<7>,CFG_RMUX13<6>,CFG_RMUX13<4>,CFG_RMUX13<2>,CFG_RMUX13<0>,CFG_RMUX13<20>,CFG_RMUX13<22>,CFG_RMUX13<24>,CFG_RMUX13<26>,CFG_RMUX13<27>,CFG_RMUX13<40>,CFG_RMUX13<42>,CFG_RMUX13<44>,CFG_RMUX13<46>,CFG_RMUX13<47>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W55,CFG_RMUX13<8>,CFG_RMUX13<9>,CFG_RMUX13<5>,CFG_RMUX13<3>,CFG_RMUX13<1>,CFG_RMUX13<21>,CFG_RMUX13<23>,CFG_RMUX13<25>,CFG_RMUX13<29>,CFG_RMUX13<28>,CFG_RMUX13<41>,CFG_RMUX13<43>,CFG_RMUX13<45>,CFG_RMUX13<49>,CFG_RMUX13<48>,CFG_IOMUX12<6>,CFG_IOMUX12<7>,CFG_IOMUX12<1>,CFG_IOMUX12<3>,CFG_SeamMUX<33>,CFG_IOMUX12<9>
