netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,
W25,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW6<7>,CFG_BBMUXW6<5>,CFG_BBMUXW6<3>,CFG_BBMUXW6<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W26,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW7<8>,CFG_BBMUXW7<6>,CFG_BBMUXW7<4>,CFG_BBMUXW7<2>,CFG_BBMUXW7<0>,CFG_SEAMMUX<47>,CFG_SEAMMUX<46>,CFG_SEAMMUX<45>,CFG_SEAMMUX<44>,CFG_SEAMMUX<43>,CFG_SEAMMUX<42>,
W27,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW7<7>,CFG_BBMUXW7<5>,CFG_BBMUXW7<3>,CFG_BBMUXW7<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W28,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW8<8>,CFG_BBMUXW8<6>,CFG_BBMUXW8<4>,CFG_BBMUXW8<2>,CFG_BBMUXW8<0>,CFG_SEAMMUX<53>,CFG_SEAMMUX<52>,CFG_SEAMMUX<51>,CFG_SEAMMUX<50>,CFG_SEAMMUX<49>,CFG_SEAMMUX<48>,
W29,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW8<7>,CFG_BBMUXW8<5>,CFG_BBMUXW8<3>,CFG_BBMUXW8<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W30,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW9<8>,CFG_BBMUXW9<6>,CFG_BBMUXW9<4>,CFG_BBMUXW9<2>,CFG_BBMUXW9<0>,CFG_SEAMMUX<59>,CFG_SEAMMUX<58>,CFG_SEAMMUX<57>,CFG_SEAMMUX<56>,CFG_SEAMMUX<55>,CFG_SEAMMUX<54>,
W31,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW9<7>,CFG_BBMUXW9<5>,CFG_BBMUXW9<3>,CFG_BBMUXW9<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W32,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W33,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W34,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W35,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W36,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW10<8>,CFG_BBMUXW10<6>,CFG_BBMUXW10<4>,CFG_BBMUXW10<2>,CFG_BBMUXW10<0>,CFG_SEAMMUX<65>,CFG_SEAMMUX<64>,CFG_SEAMMUX<63>,CFG_SEAMMUX<62>,CFG_SEAMMUX<61>,CFG_SEAMMUX<60>,
W37,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXW10<7>,CFG_BBMUXW10<5>,CFG_BBMUXW10<3>,CFG_BBMUXW10<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
