alta_io_W28_G2_SRAM,B0,B1,B2,B3,B4,B5,
W45,CFG_InputMUX<10>,XXXX,XXXX,XXXX,XXXX,XXXX,
W46,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W47,CFG_IOMUX10<8>,CFG_IOMUX10<3>,CFG_SeamMUX<21>,CFG_IOMUX10<1>,CFG_IOMUX10<7>,CFG_IOMUX10<6>,
W48,CFG_IOMUX11<9>,CFG_IOMUX11<2>,CFG_SeamMUX<22>,CFG_IOMUX11<0>,CFG_IOMUX11<4>,CFG_IOMUX11<5>,
W49,CFG_InputMUX<11>,XXXX,XXXX,XXXX,XXXX,XXXX,
W50,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W51,CFG_IOMUX11<8>,CFG_IOMUX11<3>,CFG_SeamMUX<23>,CFG_IOMUX11<1>,CFG_IOMUX11<7>,CFG_IOMUX11<6>,
W52,CFG_IOMUX12<9>,CFG_IOMUX12<2>,CFG_SeamMUX<24>,CFG_IOMUX12<0>,CFG_IOMUX12<4>,CFG_IOMUX12<5>,
W53,CFG_InputMUX<12>,XXXX,XXXX,XXXX,XXXX,XXXX,
W54,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W55,CFG_IOMUX12<8>,CFG_IOMUX12<3>,CFG_SeamMUX<25>,CFG_IOMUX12<1>,CFG_IOMUX12<7>,CFG_IOMUX12<6>,
W56,CFG_IOMUX13<9>,CFG_IOMUX13<2>,CFG_SeamMUX<26>,CFG_IOMUX13<0>,CFG_IOMUX13<4>,CFG_IOMUX13<5>,
W57,CFG_InputMUX<13>,XXXX,XXXX,XXXX,XXXX,XXXX,
W58,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W59,CFG_IOMUX13<8>,CFG_IOMUX13<3>,CFG_SeamMUX<27>,CFG_IOMUX13<1>,CFG_IOMUX13<7>,CFG_IOMUX13<6>,
W60,XXXX,CFG_GclkMUX<2>,XXXX,CFG_GclkMUX<0>,CFG_GclkMUX<4>,CFG_GclkMUX<5>,
W61,CFG_InputMUX<14>,XXXX,XXXX,XXXX,XXXX,XXXX,
W62,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W63,CFG_GclkMUX<8>,CFG_GclkMUX<3>,XXXX,CFG_GclkMUX<1>,CFG_GclkMUX<7>,CFG_GclkMUX<6>,
W64,XXXX,CFG_GclkMUX<11>,XXXX,CFG_GclkMUX<9>,CFG_GclkMUX<13>,CFG_GclkMUX<14>,
W65,CFG_InputMUX<15>,XXXX,XXXX,XXXX,XXXX,XXXX,
W66,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W67,CFG_GclkMUX<17>,CFG_GclkMUX<12>,XXXX,CFG_GclkMUX<10>,CFG_GclkMUX<16>,CFG_GclkMUX<15>,

