netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,
W0,CFG_SeamMUX<0>,CFG_SeamMUX<1>,CFG_SeamMUX<2>,CFG_SeamMUX<3>,XXXX,XXXX,CFG_SeamMUX<11>,CFG_SeamMUX<10>,CFG_SeamMUX<9>,CFG_SeamMUX<8>,CFG_SeamMUX<16>,CFG_SeamMUX<17>,CFG_SeamMUX<18>,CFG_SeamMUX<19>,XXXX,XXXX,XXXX,CFG_SeamMUX<27>,CFG_SeamMUX<26>,CFG_SeamMUX<25>,CFG_SeamMUX<24>,CFG_SeamMUX<32>,CFG_SeamMUX<33>,CFG_SeamMUX<34>,CFG_SeamMUX<35>,CFG_SeamMUX<43>,CFG_SeamMUX<42>,CFG_SeamMUX<41>,CFG_SeamMUX<40>,XXXX,XXXX,XXXX,XXXX,XXXX,
W1,CFG_SeamMUX<4>,CFG_SeamMUX<5>,CFG_SeamMUX<6>,CFG_SeamMUX<7>,XXXX,XXXX,CFG_SeamMUX<15>,CFG_SeamMUX<14>,CFG_SeamMUX<13>,CFG_SeamMUX<12>,CFG_SeamMUX<20>,CFG_SeamMUX<21>,CFG_SeamMUX<22>,CFG_SeamMUX<23>,XXXX,XXXX,XXXX,CFG_SeamMUX<31>,CFG_SeamMUX<30>,CFG_SeamMUX<29>,CFG_SeamMUX<28>,CFG_SeamMUX<36>,CFG_SeamMUX<37>,CFG_SeamMUX<38>,CFG_SeamMUX<39>,CFG_SeamMUX<47>,CFG_SeamMUX<46>,CFG_SeamMUX<45>,CFG_SeamMUX<44>,XXXX,XXXX,XXXX,XXXX,XXXX,
W2,CFG_IOMUX0<7>,CFG_IOMUX0<6>,CFG_IOMUX0<3>,CFG_IOMUX0<1>,XXXX,XXXX,CFG_IOMUX2<1>,CFG_IOMUX2<3>,CFG_IOMUX2<6>,CFG_IOMUX2<7>,CFG_IOMUX4<7>,CFG_IOMUX4<6>,CFG_IOMUX4<3>,CFG_IOMUX4<1>,XXXX,XXXX,XXXX,CFG_IOMUX6<1>,CFG_IOMUX6<3>,CFG_IOMUX6<6>,CFG_IOMUX6<7>,CFG_IOMUX8<7>,CFG_IOMUX8<6>,CFG_IOMUX8<3>,CFG_IOMUX8<1>,CFG_IOMUX10<1>,CFG_IOMUX10<3>,CFG_IOMUX10<6>,CFG_IOMUX10<7>,XXXX,XXXX,XXXX,XXXX,XXXX,
W3,CFG_IOMUX0<5>,CFG_IOMUX0<4>,CFG_IOMUX0<2>,CFG_IOMUX0<0>,XXXX,XXXX,CFG_IOMUX2<0>,CFG_IOMUX2<2>,CFG_IOMUX2<4>,CFG_IOMUX2<5>,CFG_IOMUX4<5>,CFG_IOMUX4<4>,CFG_IOMUX4<2>,CFG_IOMUX4<0>,XXXX,XXXX,XXXX,CFG_IOMUX6<0>,CFG_IOMUX6<2>,CFG_IOMUX6<4>,CFG_IOMUX6<5>,CFG_IOMUX8<5>,CFG_IOMUX8<4>,CFG_IOMUX8<2>,CFG_IOMUX8<0>,CFG_IOMUX10<0>,CFG_IOMUX10<2>,CFG_IOMUX10<4>,CFG_IOMUX10<5>,XXXX,XXXX,XXXX,XXXX,XXXX,
W4,XXXX,XXXX,XXXX,CFG_IOMUX0<8>,XXXX,XXXX,CFG_IOMUX2<8>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX4<8>,XXXX,XXXX,XXXX,CFG_IOMUX6<8>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX8<8>,CFG_IOMUX10<8>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W5,XXXX,XXXX,XXXX,CFG_IOMUX1<8>,XXXX,XXXX,CFG_IOMUX3<8>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX5<8>,XXXX,XXXX,XXXX,CFG_IOMUX7<8>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX9<8>,CFG_IOMUX11<8>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W6,CFG_IOMUX1<5>,CFG_IOMUX1<4>,CFG_IOMUX1<2>,CFG_IOMUX1<0>,XXXX,XXXX,CFG_IOMUX3<0>,CFG_IOMUX3<2>,CFG_IOMUX3<4>,CFG_IOMUX3<5>,CFG_IOMUX5<5>,CFG_IOMUX5<4>,CFG_IOMUX5<2>,CFG_IOMUX5<0>,XXXX,XXXX,XXXX,CFG_IOMUX7<0>,CFG_IOMUX7<2>,CFG_IOMUX7<4>,CFG_IOMUX7<5>,CFG_IOMUX9<5>,CFG_IOMUX9<4>,CFG_IOMUX9<2>,CFG_IOMUX9<0>,CFG_IOMUX11<0>,CFG_IOMUX11<2>,CFG_IOMUX11<4>,CFG_IOMUX11<5>,XXXX,XXXX,XXXX,XXXX,XXXX,
W7,CFG_IOMUX1<7>,CFG_IOMUX1<6>,CFG_IOMUX1<3>,CFG_IOMUX1<1>,XXXX,XXXX,CFG_IOMUX3<1>,CFG_IOMUX3<3>,CFG_IOMUX3<6>,CFG_IOMUX3<7>,CFG_IOMUX5<7>,CFG_IOMUX5<6>,CFG_IOMUX5<3>,CFG_IOMUX5<1>,XXXX,XXXX,XXXX,CFG_IOMUX7<1>,CFG_IOMUX7<3>,CFG_IOMUX7<6>,CFG_IOMUX7<7>,CFG_IOMUX9<7>,CFG_IOMUX9<6>,CFG_IOMUX9<3>,CFG_IOMUX9<1>,CFG_IOMUX11<1>,CFG_IOMUX11<3>,CFG_IOMUX11<6>,CFG_IOMUX11<7>,XXXX,XXXX,XXXX,XXXX,XXXX,

