netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,
W10,CFG_RMUX1<17>,CFG_RMUX1<16>,CFG_RMUX1<14>,CFG_RMUX1<12>,CFG_RMUX1<10>,CFG_RMUX1<30>,CFG_RMUX1<32>,CFG_RMUX1<34>,CFG_RMUX1<36>,CFG_RMUX1<37>,CFG_RMUX1<57>,CFG_RMUX1<56>,CFG_RMUX1<54>,CFG_RMUX1<52>,CFG_RMUX1<50>,CFG_KMUX10<0>,CFG_KMUX10<2>,CFG_KMUX10<4>,CFG_KMUX10<6>,CFG_KMUX10<7>,CFG_KMUX11<7>,CFG_KMUX11<6>,CFG_KMUX11<4>,CFG_KMUX11<2>,CFG_KMUX11<0>,CFG_KMUX10<10>,
W11,CFG_RMUX1<18>,CFG_RMUX1<19>,CFG_RMUX1<15>,CFG_RMUX1<13>,CFG_RMUX1<11>,CFG_RMUX1<31>,CFG_RMUX1<33>,CFG_RMUX1<35>,CFG_RMUX1<39>,CFG_RMUX1<38>,CFG_RMUX1<58>,CFG_RMUX1<59>,CFG_RMUX1<55>,CFG_RMUX1<53>,CFG_RMUX1<51>,CFG_KMUX10<1>,CFG_KMUX10<3>,CFG_KMUX10<5>,CFG_KMUX10<9>,CFG_KMUX10<8>,CFG_KMUX11<8>,CFG_KMUX11<9>,CFG_KMUX11<5>,CFG_KMUX11<3>,CFG_KMUX11<1>,CFG_KMUX11<10>,
W12,CFG_RMUX2<47>,CFG_RMUX2<46>,CFG_RMUX2<44>,CFG_RMUX2<42>,CFG_RMUX2<40>,CFG_RMUX2<0>,CFG_RMUX2<2>,CFG_RMUX2<4>,CFG_RMUX2<6>,CFG_RMUX2<7>,CFG_RMUX2<27>,CFG_RMUX2<26>,CFG_RMUX2<24>,CFG_RMUX2<22>,CFG_RMUX2<20>,CFG_KMUX12<0>,CFG_KMUX12<2>,CFG_KMUX12<4>,CFG_KMUX12<6>,CFG_KMUX12<7>,CFG_KMUX13<7>,CFG_KMUX13<6>,CFG_KMUX13<4>,CFG_KMUX13<2>,CFG_KMUX13<0>,CFG_KMUX12<10>,
W13,CFG_RMUX2<48>,CFG_RMUX2<49>,CFG_RMUX2<45>,CFG_RMUX2<43>,CFG_RMUX2<41>,CFG_RMUX2<1>,CFG_RMUX2<3>,CFG_RMUX2<5>,CFG_RMUX2<9>,CFG_RMUX2<8>,CFG_RMUX2<28>,CFG_RMUX2<29>,CFG_RMUX2<25>,CFG_RMUX2<23>,CFG_RMUX2<21>,CFG_KMUX12<1>,CFG_KMUX12<3>,CFG_KMUX12<5>,CFG_KMUX12<9>,CFG_KMUX12<8>,CFG_KMUX13<8>,CFG_KMUX13<9>,CFG_KMUX13<5>,CFG_KMUX13<3>,CFG_KMUX13<1>,CFG_KMUX13<10>,
W14,CFG_RMUX3<47>,CFG_RMUX3<46>,CFG_RMUX3<44>,CFG_RMUX3<42>,CFG_RMUX3<40>,CFG_RMUX3<0>,CFG_RMUX3<2>,CFG_RMUX3<4>,CFG_RMUX3<6>,CFG_RMUX3<7>,CFG_RMUX3<27>,CFG_RMUX3<26>,CFG_RMUX3<24>,CFG_RMUX3<22>,CFG_RMUX3<20>,CFG_KMUX14<0>,CFG_KMUX14<2>,CFG_KMUX14<4>,CFG_KMUX14<6>,CFG_KMUX14<7>,CFG_KMUX15<7>,CFG_KMUX15<6>,CFG_KMUX15<4>,CFG_KMUX15<2>,CFG_KMUX15<0>,CFG_KMUX14<10>,
W15,CFG_RMUX3<48>,CFG_RMUX3<49>,CFG_RMUX3<45>,CFG_RMUX3<43>,CFG_RMUX3<41>,CFG_RMUX3<1>,CFG_RMUX3<3>,CFG_RMUX3<5>,CFG_RMUX3<9>,CFG_RMUX3<8>,CFG_RMUX3<28>,CFG_RMUX3<29>,CFG_RMUX3<25>,CFG_RMUX3<23>,CFG_RMUX3<21>,CFG_KMUX14<1>,CFG_KMUX14<3>,CFG_KMUX14<5>,CFG_KMUX14<9>,CFG_KMUX14<8>,CFG_KMUX15<8>,CFG_KMUX15<9>,CFG_KMUX15<5>,CFG_KMUX15<3>,CFG_KMUX15<1>,CFG_KMUX15<10>,
W16,CFG_RMUX4<7>,CFG_RMUX4<6>,CFG_RMUX4<4>,CFG_RMUX4<2>,CFG_RMUX4<0>,CFG_RMUX4<20>,CFG_RMUX4<22>,CFG_RMUX4<24>,CFG_RMUX4<26>,CFG_RMUX4<27>,CFG_RMUX4<47>,CFG_RMUX4<46>,CFG_RMUX4<44>,CFG_RMUX4<42>,CFG_RMUX4<40>,CFG_KMUX16<0>,CFG_KMUX16<2>,CFG_KMUX16<4>,CFG_KMUX16<6>,CFG_KMUX16<7>,CFG_KMUX17<7>,CFG_KMUX17<6>,CFG_KMUX17<4>,CFG_KMUX17<2>,CFG_KMUX17<0>,CFG_KMUX16<10>,
W17,CFG_RMUX4<8>,CFG_RMUX4<9>,CFG_RMUX4<5>,CFG_RMUX4<3>,CFG_RMUX4<1>,CFG_RMUX4<21>,CFG_RMUX4<23>,CFG_RMUX4<25>,CFG_RMUX4<29>,CFG_RMUX4<28>,CFG_RMUX4<48>,CFG_RMUX4<49>,CFG_RMUX4<45>,CFG_RMUX4<43>,CFG_RMUX4<41>,CFG_KMUX16<1>,CFG_KMUX16<3>,CFG_KMUX16<5>,CFG_KMUX16<9>,CFG_KMUX16<8>,CFG_KMUX17<8>,CFG_KMUX17<9>,CFG_KMUX17<5>,CFG_KMUX17<3>,CFG_KMUX17<1>,CFG_KMUX17<10>,
W18,CFG_RMUX5<7>,CFG_RMUX5<6>,CFG_RMUX5<4>,CFG_RMUX5<2>,CFG_RMUX5<0>,CFG_RMUX5<20>,CFG_RMUX5<22>,CFG_RMUX5<24>,CFG_RMUX5<26>,CFG_RMUX5<27>,CFG_RMUX5<47>,CFG_RMUX5<46>,CFG_RMUX5<44>,CFG_RMUX5<42>,CFG_RMUX5<40>,CFG_KMUX18<0>,CFG_KMUX18<2>,CFG_KMUX18<4>,CFG_KMUX18<6>,CFG_KMUX18<7>,CFG_KMUX19<7>,CFG_KMUX19<6>,CFG_KMUX19<4>,CFG_KMUX19<2>,CFG_KMUX19<0>,CFG_KMUX18<10>,
W19,CFG_RMUX5<8>,CFG_RMUX5<9>,CFG_RMUX5<5>,CFG_RMUX5<3>,CFG_RMUX5<1>,CFG_RMUX5<21>,CFG_RMUX5<23>,CFG_RMUX5<25>,CFG_RMUX5<29>,CFG_RMUX5<28>,CFG_RMUX5<48>,CFG_RMUX5<49>,CFG_RMUX5<45>,CFG_RMUX5<43>,CFG_RMUX5<41>,CFG_KMUX18<1>,CFG_KMUX18<3>,CFG_KMUX18<5>,CFG_KMUX18<9>,CFG_KMUX18<8>,CFG_KMUX19<8>,CFG_KMUX19<9>,CFG_KMUX19<5>,CFG_KMUX19<3>,CFG_KMUX19<1>,CFG_KMUX19<10>,
