netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,
W40,CFG_RMUX10<57>,CFG_RMUX10<56>,CFG_RMUX10<54>,CFG_RMUX10<52>,CFG_RMUX10<50>,CFG_RMUX10<10>,CFG_RMUX10<12>,CFG_RMUX10<14>,CFG_RMUX10<16>,CFG_RMUX10<17>,CFG_RMUX10<37>,CFG_RMUX10<36>,CFG_RMUX10<34>,CFG_RMUX10<32>,CFG_RMUX10<30>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W41,CFG_RMUX10<58>,CFG_RMUX10<59>,CFG_RMUX10<55>,CFG_RMUX10<53>,CFG_RMUX10<51>,CFG_RMUX10<11>,CFG_RMUX10<13>,CFG_RMUX10<15>,CFG_RMUX10<19>,CFG_RMUX10<18>,CFG_RMUX10<38>,CFG_RMUX10<39>,CFG_RMUX10<35>,CFG_RMUX10<33>,CFG_RMUX10<31>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W42,CFG_RMUX11<57>,CFG_RMUX11<56>,CFG_RMUX11<54>,CFG_RMUX11<52>,CFG_RMUX11<50>,CFG_RMUX11<10>,CFG_RMUX11<12>,CFG_RMUX11<14>,CFG_RMUX11<16>,CFG_RMUX11<17>,CFG_RMUX11<37>,CFG_RMUX11<36>,CFG_RMUX11<34>,CFG_RMUX11<32>,CFG_RMUX11<30>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W43,CFG_RMUX11<58>,CFG_RMUX11<59>,CFG_RMUX11<55>,CFG_RMUX11<53>,CFG_RMUX11<51>,CFG_RMUX11<11>,CFG_RMUX11<13>,CFG_RMUX11<15>,CFG_RMUX11<19>,CFG_RMUX11<18>,CFG_RMUX11<38>,CFG_RMUX11<39>,CFG_RMUX11<35>,CFG_RMUX11<33>,CFG_RMUX11<31>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W44,CFG_RMUX8<17>,CFG_RMUX8<16>,CFG_RMUX8<14>,CFG_RMUX8<12>,CFG_RMUX8<10>,CFG_RMUX8<30>,CFG_RMUX8<32>,CFG_RMUX8<34>,CFG_RMUX8<36>,CFG_RMUX8<37>,CFG_RMUX8<57>,CFG_RMUX8<56>,CFG_RMUX8<54>,CFG_RMUX8<52>,CFG_RMUX8<50>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W45,CFG_RMUX8<18>,CFG_RMUX8<19>,CFG_RMUX8<15>,CFG_RMUX8<13>,CFG_RMUX8<11>,CFG_RMUX8<31>,CFG_RMUX8<33>,CFG_RMUX8<35>,CFG_RMUX8<39>,CFG_RMUX8<38>,CFG_RMUX8<58>,CFG_RMUX8<59>,CFG_RMUX8<55>,CFG_RMUX8<53>,CFG_RMUX8<51>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W46,CFG_RMUX9<17>,CFG_RMUX9<16>,CFG_RMUX9<14>,CFG_RMUX9<12>,CFG_RMUX9<10>,CFG_RMUX9<30>,CFG_RMUX9<32>,CFG_RMUX9<34>,CFG_RMUX9<36>,CFG_RMUX9<37>,CFG_RMUX9<57>,CFG_RMUX9<56>,CFG_RMUX9<54>,CFG_RMUX9<52>,CFG_RMUX9<50>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W47,CFG_RMUX9<18>,CFG_RMUX9<19>,CFG_RMUX9<15>,CFG_RMUX9<13>,CFG_RMUX9<11>,CFG_RMUX9<31>,CFG_RMUX9<33>,CFG_RMUX9<35>,CFG_RMUX9<39>,CFG_RMUX9<38>,CFG_RMUX9<58>,CFG_RMUX9<59>,CFG_RMUX9<55>,CFG_RMUX9<53>,CFG_RMUX9<51>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W48,CFG_RMUX10<47>,CFG_RMUX10<46>,CFG_RMUX10<44>,CFG_RMUX10<42>,CFG_RMUX10<40>,CFG_RMUX10<0>,CFG_RMUX10<2>,CFG_RMUX10<4>,CFG_RMUX10<6>,CFG_RMUX10<7>,CFG_RMUX10<27>,CFG_RMUX10<26>,CFG_RMUX10<24>,CFG_RMUX10<22>,CFG_RMUX10<20>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W49,CFG_RMUX10<48>,CFG_RMUX10<49>,CFG_RMUX10<45>,CFG_RMUX10<43>,CFG_RMUX10<41>,CFG_RMUX10<1>,CFG_RMUX10<3>,CFG_RMUX10<5>,CFG_RMUX10<9>,CFG_RMUX10<8>,CFG_RMUX10<28>,CFG_RMUX10<29>,CFG_RMUX10<25>,CFG_RMUX10<23>,CFG_RMUX10<21>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SEL_DB1_REG,CFG_SEL_DA1_REG,CFG_SELMODE,CFG_SELOUTB,XXXX,
W50,CFG_RMUX11<47>,CFG_RMUX11<46>,CFG_RMUX11<44>,CFG_RMUX11<42>,CFG_RMUX11<40>,CFG_RMUX11<0>,CFG_RMUX11<2>,CFG_RMUX11<4>,CFG_RMUX11<6>,CFG_RMUX11<7>,CFG_RMUX11<27>,CFG_RMUX11<26>,CFG_RMUX11<24>,CFG_RMUX11<22>,CFG_RMUX11<20>,CFG_KMUX20<0>,CFG_KMUX20<2>,CFG_KMUX20<4>,CFG_KMUX20<6>,CFG_KMUX20<7>,CFG_KMUX21<7>,CFG_KMUX21<6>,CFG_KMUX21<4>,CFG_KMUX21<2>,CFG_KMUX21<0>,CFG_KMUX20<10>,
W51,CFG_RMUX11<48>,CFG_RMUX11<49>,CFG_RMUX11<45>,CFG_RMUX11<43>,CFG_RMUX11<41>,CFG_RMUX11<1>,CFG_RMUX11<3>,CFG_RMUX11<5>,CFG_RMUX11<9>,CFG_RMUX11<8>,CFG_RMUX11<28>,CFG_RMUX11<29>,CFG_RMUX11<25>,CFG_RMUX11<23>,CFG_RMUX11<21>,CFG_KMUX20<1>,CFG_KMUX20<3>,CFG_KMUX20<5>,CFG_KMUX20<9>,CFG_KMUX20<8>,CFG_KMUX21<8>,CFG_KMUX21<9>,CFG_KMUX21<5>,CFG_KMUX21<3>,CFG_KMUX21<1>,CFG_KMUX21<10>,
W52,CFG_RMUX12<7>,CFG_RMUX12<6>,CFG_RMUX12<4>,CFG_RMUX12<2>,CFG_RMUX12<0>,CFG_RMUX12<20>,CFG_RMUX12<22>,CFG_RMUX12<24>,CFG_RMUX12<26>,CFG_RMUX12<27>,CFG_RMUX12<47>,CFG_RMUX12<46>,CFG_RMUX12<44>,CFG_RMUX12<42>,CFG_RMUX12<40>,CFG_KMUX22<0>,CFG_KMUX22<2>,CFG_KMUX22<4>,CFG_KMUX22<6>,CFG_KMUX22<7>,CFG_KMUX23<7>,CFG_KMUX23<6>,CFG_KMUX23<4>,CFG_KMUX23<2>,CFG_KMUX23<0>,CFG_KMUX22<10>,
W53,CFG_RMUX12<8>,CFG_RMUX12<9>,CFG_RMUX12<5>,CFG_RMUX12<3>,CFG_RMUX12<1>,CFG_RMUX12<21>,CFG_RMUX12<23>,CFG_RMUX12<25>,CFG_RMUX12<29>,CFG_RMUX12<28>,CFG_RMUX12<48>,CFG_RMUX12<49>,CFG_RMUX12<45>,CFG_RMUX12<43>,CFG_RMUX12<41>,CFG_KMUX22<1>,CFG_KMUX22<3>,CFG_KMUX22<5>,CFG_KMUX22<9>,CFG_KMUX22<8>,CFG_KMUX23<8>,CFG_KMUX23<9>,CFG_KMUX23<5>,CFG_KMUX23<3>,CFG_KMUX23<1>,CFG_KMUX23<10>,
W54,CFG_RMUX13<7>,CFG_RMUX13<6>,CFG_RMUX13<4>,CFG_RMUX13<2>,CFG_RMUX13<0>,CFG_RMUX13<20>,CFG_RMUX13<22>,CFG_RMUX13<24>,CFG_RMUX13<26>,CFG_RMUX13<27>,CFG_RMUX13<47>,CFG_RMUX13<46>,CFG_RMUX13<44>,CFG_RMUX13<42>,CFG_RMUX13<40>,CFG_KMUX24<0>,CFG_KMUX24<2>,CFG_KMUX24<4>,CFG_KMUX24<6>,CFG_KMUX24<7>,CFG_KMUX25<7>,CFG_KMUX25<6>,CFG_KMUX25<4>,CFG_KMUX25<2>,CFG_KMUX25<0>,CFG_KMUX24<10>,
W55,CFG_RMUX13<8>,CFG_RMUX13<9>,CFG_RMUX13<5>,CFG_RMUX13<3>,CFG_RMUX13<1>,CFG_RMUX13<21>,CFG_RMUX13<23>,CFG_RMUX13<25>,CFG_RMUX13<29>,CFG_RMUX13<28>,CFG_RMUX13<48>,CFG_RMUX13<49>,CFG_RMUX13<45>,CFG_RMUX13<43>,CFG_RMUX13<41>,CFG_KMUX24<1>,CFG_KMUX24<3>,CFG_KMUX24<5>,CFG_KMUX24<9>,CFG_KMUX24<8>,CFG_KMUX25<8>,CFG_KMUX25<9>,CFG_KMUX25<5>,CFG_KMUX25<3>,CFG_KMUX25<1>,CFG_KMUX25<10>,
W56,CFG_RMUX14<57>,CFG_RMUX14<56>,CFG_RMUX14<54>,CFG_RMUX14<52>,CFG_RMUX14<50>,CFG_RMUX14<10>,CFG_RMUX14<12>,CFG_RMUX14<14>,CFG_RMUX14<16>,CFG_RMUX14<17>,CFG_RMUX14<37>,CFG_RMUX14<36>,CFG_RMUX14<34>,CFG_RMUX14<32>,CFG_RMUX14<30>,CFG_KMUX26<0>,CFG_KMUX26<2>,CFG_KMUX26<4>,CFG_KMUX26<6>,CFG_KMUX26<7>,CFG_KMUX27<7>,CFG_KMUX27<6>,CFG_KMUX27<4>,CFG_KMUX27<2>,CFG_KMUX27<0>,CFG_KMUX26<10>,
W57,CFG_RMUX14<58>,CFG_RMUX14<59>,CFG_RMUX14<55>,CFG_RMUX14<53>,CFG_RMUX14<51>,CFG_RMUX14<11>,CFG_RMUX14<13>,CFG_RMUX14<15>,CFG_RMUX14<19>,CFG_RMUX14<18>,CFG_RMUX14<38>,CFG_RMUX14<39>,CFG_RMUX14<35>,CFG_RMUX14<33>,CFG_RMUX14<31>,CFG_KMUX26<1>,CFG_KMUX26<3>,CFG_KMUX26<5>,CFG_KMUX26<9>,CFG_KMUX26<8>,CFG_KMUX27<8>,CFG_KMUX27<9>,CFG_KMUX27<5>,CFG_KMUX27<3>,CFG_KMUX27<1>,CFG_KMUX27<10>,
W58,CFG_RMUX15<57>,CFG_RMUX15<56>,CFG_RMUX15<54>,CFG_RMUX15<52>,CFG_RMUX15<50>,CFG_RMUX15<10>,CFG_RMUX15<12>,CFG_RMUX15<14>,CFG_RMUX15<16>,CFG_RMUX15<17>,CFG_RMUX15<37>,CFG_RMUX15<36>,CFG_RMUX15<34>,CFG_RMUX15<32>,CFG_RMUX15<30>,CFG_KMUX28<0>,CFG_KMUX28<2>,CFG_KMUX28<4>,CFG_KMUX28<6>,CFG_KMUX28<7>,CFG_KMUX29<7>,CFG_KMUX29<6>,CFG_KMUX29<4>,CFG_KMUX29<2>,CFG_KMUX29<0>,CFG_KMUX28<10>,
W59,CFG_RMUX15<58>,CFG_RMUX15<59>,CFG_RMUX15<55>,CFG_RMUX15<53>,CFG_RMUX15<51>,CFG_RMUX15<11>,CFG_RMUX15<13>,CFG_RMUX15<15>,CFG_RMUX15<19>,CFG_RMUX15<18>,CFG_RMUX15<38>,CFG_RMUX15<39>,CFG_RMUX15<35>,CFG_RMUX15<33>,CFG_RMUX15<31>,CFG_KMUX28<1>,CFG_KMUX28<3>,CFG_KMUX28<5>,CFG_KMUX28<9>,CFG_KMUX28<8>,CFG_KMUX29<8>,CFG_KMUX29<9>,CFG_KMUX29<5>,CFG_KMUX29<3>,CFG_KMUX29<1>,CFG_KMUX29<10>,
W60,CFG_RMUX12<17>,CFG_RMUX12<16>,CFG_RMUX12<14>,CFG_RMUX12<12>,CFG_RMUX12<10>,CFG_RMUX12<30>,CFG_RMUX12<32>,CFG_RMUX12<34>,CFG_RMUX12<36>,CFG_RMUX12<37>,CFG_RMUX12<57>,CFG_RMUX12<56>,CFG_RMUX12<54>,CFG_RMUX12<52>,CFG_RMUX12<50>,CFG_KMUX30<0>,CFG_KMUX30<2>,CFG_KMUX30<4>,CFG_KMUX30<6>,CFG_KMUX30<7>,CFG_KMUX31<7>,CFG_KMUX31<6>,CFG_KMUX31<4>,CFG_KMUX31<2>,CFG_KMUX31<0>,CFG_KMUX30<10>,
W61,CFG_RMUX12<18>,CFG_RMUX12<19>,CFG_RMUX12<15>,CFG_RMUX12<13>,CFG_RMUX12<11>,CFG_RMUX12<31>,CFG_RMUX12<33>,CFG_RMUX12<35>,CFG_RMUX12<39>,CFG_RMUX12<38>,CFG_RMUX12<58>,CFG_RMUX12<59>,CFG_RMUX12<55>,CFG_RMUX12<53>,CFG_RMUX12<51>,CFG_KMUX30<1>,CFG_KMUX30<3>,CFG_KMUX30<5>,CFG_KMUX30<9>,CFG_KMUX30<8>,CFG_KMUX31<8>,CFG_KMUX31<9>,CFG_KMUX31<5>,CFG_KMUX31<3>,CFG_KMUX31<1>,CFG_KMUX31<10>,
W62,CFG_RMUX13<17>,CFG_RMUX13<16>,CFG_RMUX13<14>,CFG_RMUX13<12>,CFG_RMUX13<10>,CFG_RMUX13<30>,CFG_RMUX13<32>,CFG_RMUX13<34>,CFG_RMUX13<36>,CFG_RMUX13<37>,CFG_RMUX13<57>,CFG_RMUX13<56>,CFG_RMUX13<54>,CFG_RMUX13<52>,CFG_RMUX13<50>,CFG_KMUX32<0>,CFG_KMUX32<2>,CFG_KMUX32<4>,CFG_KMUX32<6>,CFG_KMUX32<7>,CFG_KMUX33<7>,CFG_KMUX33<6>,CFG_KMUX33<4>,CFG_KMUX33<2>,CFG_KMUX33<0>,CFG_KMUX32<10>,
W63,CFG_RMUX13<18>,CFG_RMUX13<19>,CFG_RMUX13<15>,CFG_RMUX13<13>,CFG_RMUX13<11>,CFG_RMUX13<31>,CFG_RMUX13<33>,CFG_RMUX13<35>,CFG_RMUX13<39>,CFG_RMUX13<38>,CFG_RMUX13<58>,CFG_RMUX13<59>,CFG_RMUX13<55>,CFG_RMUX13<53>,CFG_RMUX13<51>,CFG_KMUX32<1>,CFG_KMUX32<3>,CFG_KMUX32<5>,CFG_KMUX32<9>,CFG_KMUX32<8>,CFG_KMUX33<8>,CFG_KMUX33<9>,CFG_KMUX33<5>,CFG_KMUX33<3>,CFG_KMUX33<1>,CFG_KMUX33<10>,
W64,CFG_RMUX14<47>,CFG_RMUX14<46>,CFG_RMUX14<44>,CFG_RMUX14<42>,CFG_RMUX14<40>,CFG_RMUX14<0>,CFG_RMUX14<2>,CFG_RMUX14<4>,CFG_RMUX14<6>,CFG_RMUX14<7>,CFG_RMUX14<27>,CFG_RMUX14<26>,CFG_RMUX14<24>,CFG_RMUX14<22>,CFG_RMUX14<20>,CFG_KMUX34<0>,CFG_KMUX34<2>,CFG_KMUX34<4>,CFG_KMUX34<6>,CFG_KMUX34<7>,CFG_KMUX35<7>,CFG_KMUX35<6>,CFG_KMUX35<4>,CFG_KMUX35<2>,CFG_KMUX35<0>,CFG_KMUX34<10>,
W65,CFG_RMUX14<48>,CFG_RMUX14<49>,CFG_RMUX14<45>,CFG_RMUX14<43>,CFG_RMUX14<41>,CFG_RMUX14<1>,CFG_RMUX14<3>,CFG_RMUX14<5>,CFG_RMUX14<9>,CFG_RMUX14<8>,CFG_RMUX14<28>,CFG_RMUX14<29>,CFG_RMUX14<25>,CFG_RMUX14<23>,CFG_RMUX14<21>,CFG_KMUX34<1>,CFG_KMUX34<3>,CFG_KMUX34<5>,CFG_KMUX34<9>,CFG_KMUX34<8>,CFG_KMUX35<8>,CFG_KMUX35<9>,CFG_KMUX35<5>,CFG_KMUX35<3>,CFG_KMUX35<1>,CFG_KMUX35<10>,
W66,CFG_RMUX15<47>,CFG_RMUX15<46>,CFG_RMUX15<44>,CFG_RMUX15<42>,CFG_RMUX15<40>,CFG_RMUX15<0>,CFG_RMUX15<2>,CFG_RMUX15<4>,CFG_RMUX15<6>,CFG_RMUX15<7>,CFG_RMUX15<27>,CFG_RMUX15<26>,CFG_RMUX15<24>,CFG_RMUX15<22>,CFG_RMUX15<20>,CFG_KMUX36<0>,CFG_KMUX36<2>,CFG_KMUX36<4>,CFG_KMUX36<6>,CFG_KMUX36<7>,CFG_KMUX37<7>,CFG_KMUX37<6>,CFG_KMUX37<4>,CFG_KMUX37<2>,CFG_KMUX37<0>,CFG_KMUX36<10>,
W67,CFG_RMUX15<48>,CFG_RMUX15<49>,CFG_RMUX15<45>,CFG_RMUX15<43>,CFG_RMUX15<41>,CFG_RMUX15<1>,CFG_RMUX15<3>,CFG_RMUX15<5>,CFG_RMUX15<9>,CFG_RMUX15<8>,CFG_RMUX15<28>,CFG_RMUX15<29>,CFG_RMUX15<25>,CFG_RMUX15<23>,CFG_RMUX15<21>,CFG_KMUX36<1>,CFG_KMUX36<3>,CFG_KMUX36<5>,CFG_KMUX36<9>,CFG_KMUX36<8>,CFG_KMUX37<8>,CFG_KMUX37<9>,CFG_KMUX37<5>,CFG_KMUX37<3>,CFG_KMUX37<1>,CFG_KMUX37<10>,

